Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C19, C2, C20, C21, C23",0603,8,1u,C1592
"C10, C12, C13, C15, C16, C28, C31, C4, C40, C43, C9",0603,11,30p, C1658
"C17, C18, C22, C3, C5, C6, C8",0603,7,10u,C1035
"C24, C25, C33, C34, C36, C37, C45",0603,7,100n,C1590
"C26, C38",CP_Elec_10x10.5,2,1000u,C3359
"C27, C29, C32, C35, C39, C41, C44, C7",CP_Elec_6.3x7.7,8,100u,C3339
"C30, C42",0603,2,2.2n,C1028
"D1, D5",D_SMA,2,SS14,C2480
D2,0603,1,LED,C84265
"D3, D4, D6, D7",0603,4,D_TVS,C316055
F1,0603,1,Polyfuse - 750mA,C20787
"FB1, FB2, FB3, FB4, FB5",0603,5,120R,C12391
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C5184243
J2,SJ-3524-SMT,1,SJ-3524-SMT,
L1,0805,1,10u,C223269
R1,0603,1,20,C136969
"R10, R2",0603,2,1M,C326730
"R11, R12, R24, R35, R5, R6",0603,6,5.1K,C122969
"R13, R14, R15, R20, R25, R28, R29, R30, R32, R36, R39, R8",0603,12,22K,C217885
"R16, R22, R23, R26, R33, R34, R37, R4, R40",0603,9,1.5K,C193681
"R17, R18",0603,2,22,C217888
"R19, R27, R31, R38, R9",0603,5,1,C412388
R21,TRIM_PTN092-H20115K1A,1,PTN092-H20115K1A,
R3,0603,1,240K,C217899
R7,0603,1,84.5K,C705797
TP1,TestPoint_Pad_1.0x1.0mm,1,+5V,
TP11,TestPoint_Pad_1.0x1.0mm,1,buffer2_r,
TP12,TestPoint_Pad_1.0x1.0mm,1,buffer2_l,
TP13,TestPoint_Pad_1.0x1.0mm,1,in_l,
TP14,TestPoint_Pad_1.0x1.0mm,1,in_r,
TP15,TestPoint_Pad_1.0x1.0mm,1,buffer1_l,
TP16,TestPoint_Pad_1.0x1.0mm,1,buffer1_r,
TP2,TestPoint_Pad_1.0x1.0mm,1,+16V,
TP3,TestPoint_Pad_1.0x1.0mm,1,+15VA,
TP4,TestPoint_Pad_1.0x1.0mm,1,+3.7V,
TP5,TestPoint_Pad_1.0x1.0mm,1,U1_VCCI,
TP6,TestPoint_Pad_1.0x1.0mm,1,VBL,
TP7,TestPoint_Pad_1.0x1.0mm,1,VREF,
TP8,TestPoint_Pad_1.0x1.0mm,1,VBR,
U1,SOT-23-5,1,TPS61040DBV,C7722
"U10, U11, U5, U6, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,7,NE5532,C7426
"U2, U3",SOT-23-5,2,SPX3819M5-L,C9056
U4,SSOP-28_5.3x10.2mm_P0.65mm,1,PCM2900C,C180425
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz Crystal,C9002
