Designator,Mid X,Mid Y,Rotation,Layer
C1,153.416,-54.483,0.0,top
C10,108.893999,-58.1825,180.0,top
C11,108.888999,-64.6595,180.0,top
C12,157.861,-66.167,0.0,top
C13,160.807,-68.646,90.0,top
C14,160.655,-81.915,90.0,top
C15,154.559,-81.915,90.0,top
C16,136.2,-67.747,90.0,top
C17,123.317,-71.628,180.0,top
C18,123.317,-76.581,180.0,top
C19,123.317,-78.138,180.0,top
C2,127.006822,-58.562,0.0,top
C20,137.089,-77.907,0.0,top
C21,137.089,-76.129,0.0,top
C22,136.2,-71.303,90.0,top
C23,140.391,-72.446,90.0,top
C24,140.391,-68.89,270.0,top
C25,123.7985,-101.854,270.0,top
C26,143.129,-80.8675,270.0,top
C27,157.607,-90.297,0.0,top
C28,111.379,-105.791,0.0,top
C29,111.379,-97.917,180.0,top
C3,137.928822,-58.562,180.0,top
C30,104.775,-101.854,270.0,top
C31,104.775,-113.919,270.0,top
C32,116.967,-110.363,180.0,top
C33,121.92,-114.427,90.0,top
C34,117.094,-122.428,180.0,top
C35,114.3,-132.207,180.0,top
C36,122.936,-123.317,0.0,top
C37,160.782,-101.854,270.0,top
C38,148.463,-105.918,0.0,top
C39,148.463,-97.917,180.0,top
C4,130.435822,-60.213,180.0,top
C40,141.732,-101.854,270.0,top
C41,141.732,-114.046,270.0,top
C42,153.9505,-110.363,180.0,top
C43,157.099,-114.554,90.0,top
C44,153.924,-122.428,180.0,top
C45,151.257,-132.207,180.0,top
C46,142.494,-123.317,0.0,top
C47,151.384,-91.059,90.0,top
C5,134.499822,-60.213,0.0,top
C6,156.972,-58.674,180.0,top
C7,144.78,-55.2715,90.0,top
C8,146.558,-55.2715,90.0,top
C9,157.861,-61.341,90.0,top
D1,130.435822,-58.562,0.0,top
D2,134.499822,-58.562,180.0,top
D3,158.369,-133.858,0.0,top
D4,152.908,-61.722,180.0,top
D5,110.671999,-70.3745,90.0,top
D6,122.936,-124.968,0.0,top
D7,142.494,-124.968,0.0,top
F1,141.859,-56.134,0.0,top
FB1,145.669,-57.8115,0.0,top
FB2,156.083,-64.516,180.0,top
FB3,113.211999,-60.9765,180.0,top
FB4,122.936,-126.619,0.0,top
FB5,142.494,-126.619,0.0,top
J1,132.975822,-52.085,180.0,top
J2,132.969,-130.6625,90.0,top
L1,150.749,-57.531,270.0,top
R1,137.928822,-60.213,180.0,top
R10,159.6875,-71.313,180.0,top
R11,155.854,-71.313,180.0,top
R12,160.655,-74.803,270.0,top
R13,158.369,-132.08,0.0,top
R14,129.469,-66.35,270.0,top
R15,130.993,-66.35,270.0,top
R16,130.4055,-61.849,0.0,top
R17,123.317,-70.104,0.0,top
R2,127.006822,-60.213,0.0,top
R20,123.317,-81.186,0.0,top
R21,123.317,-79.662,0.0,top
R22,138.74,-70.668,270.0,top
R23,120.269,-101.854,90.0,top
R24,150.749,-81.8835,270.0,top
R25,150.749,-85.4395,270.0,top
R26,148.463,-96.266,0.0,top
R27,108.585,-115.57,270.0,top
R28,111.887,-110.236,180.0,top
R29,116.967,-117.729,180.0,top
R3,104.501,-80.772,270.0,top
R30,120.142,-114.427,270.0,top
R31,108.458,-127.508,270.0,top
R32,120.142,-127.381,90.0,top
R33,122.936,-128.27,0.0,top
R34,157.099,-101.854,90.0,top
R35,111.379,-96.266,180.0,top
R36,145.542,-115.57,270.0,top
R38,148.59,-110.236,180.0,top
R39,153.9005,-117.729,180.0,top
R40,158.884,-114.554,270.0,top
R41,145.415,-127.508,90.0,top
R42,157.099,-127.508,90.0,top
R43,142.494,-128.27,0.0,top
R5,156.972,-57.023,180.0,top
R6,156.972,-55.245,0.0,top
R7,106.094999,-64.5325,90.0,top
R8,106.094999,-60.8495,90.0,top
R9,104.443999,-60.8495,90.0,top
U1,130.231,-73.462,270.0,top
U10,151.257,-114.046,270.0,top
U11,151.257,-126.238,270.0,top
U2,153.416,-57.531,270.0,top
U3,108.827999,-61.617,90.0,top
U4,157.8915,-68.707,180.0,top
U5,114.3,-101.854,90.0,top
U6,146.939,-83.693,0.0,top
U7,114.3,-126.238,270.0,top
U8,151.257,-101.854,90.0,top
U9,114.3,-114.046,270.0,top
Y3,143.058,-70.668,270.0,top
